title,authors,summary,published,link,keyword_used
"American Twitter Users Revealed Social Determinants-related Oral Health
  Disparities amid the COVID-19 Pandemic","Yangxin Fan, Hanjia Lyu, Jin Xiao, Jiebo Luo","Objectives: To assess self-reported population oral health conditions amid
COVID-19 pandemic using user reports on Twitter. Method and Material: We
collected oral health-related tweets during the COVID-19 pandemic from 9,104
Twitter users across 26 states (with sufficient samples) in the United States
between November 12, 2020 and June 14, 2021. We inferred user demographics by
leveraging the visual information from the user profile images. Other
characteristics including income, population density, poverty rate, health
insurance coverage rate, community water fluoridation rate, and relative change
in the number of daily confirmed COVID-19 cases were acquired or inferred based
on retrieved information from user profiles. We performed logistic regression
to examine whether discussions vary across user characteristics. Results:
Overall, 26.70% of the Twitter users discuss wisdom tooth pain/jaw hurt, 23.86%
tweet about dental service/cavity, 18.97% discuss chipped tooth/tooth break,
16.23% talk about dental pain, and the rest are about tooth decay/gum bleeding.
Women and younger adults (19-29) are more likely to talk about oral health
problems. Health insurance coverage rate is the most significant predictor in
logistic regression for topic prediction. Conclusion: Tweets inform social
disparities in oral health during the pandemic. For instance, people from
counties at a higher risk of COVID-19 talk more about tooth decay/gum bleeding
and chipped tooth/tooth break. Older adults, who are vulnerable to COVID-19,
are more likely to discuss dental pain. Topics of interest vary across user
characteristics. Through the lens of social media, our findings may provide
insights for oral health practitioners and policy makers.",2021-09-16T01:10:06Z,http://arxiv.org/abs/2109.07652v2,tooth decay
"ViSTooth: A Visualization Framework for Tooth Segmentation on Panoramic
  Radiograph","Shenji Zhu, Miaoxin Hu, Tianya Pan, Yue Hong, Bin Li, Zhiguang Zhou, Ting Xu","Tooth segmentation is a key step for computer aided diagnosis of dental
diseases. Numerous machine learning models have been employed for tooth
segmentation on dental panoramic radiograph. However, it is a difficult task to
achieve accurate tooth segmentation due to complex tooth shapes, diverse tooth
categories and incomplete sample set for machine learning. In this paper, we
propose ViSTooth, a visualization framework for tooth segmentation on dental
panoramic radiograph. First, we employ Mask R-CNN to conduct preliminary tooth
segmentation, and a set of domain metrics are proposed to estimate the accuracy
of the segmented teeth, including tooth shape, tooth position and tooth angle.
Then, we represent the teeth with high-dimensional vectors and visualize their
distribution in a low-dimensional space, in which experts can easily observe
those teeth with specific metrics. Further, we expand the sample set with the
expert-specified teeth and train the tooth segmentation model iteratively.
Finally, we conduct case study and expert study to demonstrate the
effectiveness and usability of our ViSTooth, in aiding experts to implement
accurate tooth segmentation guided by expert knowledge.",2024-05-14T13:10:54Z,http://arxiv.org/abs/2405.08573v1,tooth decay
"Electrical Switching of Tristate Antiferromagnetic Néel Order in
  $α$-Fe$_{2}$O$_{3}$ Epitaxial Films","Yang Cheng, Sisheng Yu, Menglin Zhu, Jinwoo Hwang, Fengyuan Yang","The ability to manipulate antiferromagnetic (AF) moments is a key requirement
for the emerging field of antiferromagnetic spintronics. Electrical switching
of bi-state AF moments has been demonstrated in metallic AFs, CuMnAs and
Mn$_2$Au. Recently, current-induced ""saw-tooth"" shaped Hall resistance was
reported in Pt/NiO bilayers, while its mechanism is under debate. Here, we
report the first demonstration of convincing, non-decaying, step-like
electrical switching of tri-state N\'eel order in Pt/$\alpha$-Fe$_2$O$_3$
bilayers. Our experimental data, together with Monte-Carlo simulations, reveal
the clear mechanism of the switching behavior of $\alpha$-Fe$_2$O$_3$ N\'eel
order among three stable states. We also show that the observed ""saw-tooth""
Hall resistance is due to an artifact of Pt, not AF switching, while the
signature of AF switching is step-like Hall signals. This demonstration of
electrical control of magnetic moments in AF insulator (AFI) films will greatly
expand the scope of AF spintronics by leveraging the large family of AFIs.",2019-06-11T16:52:05Z,http://arxiv.org/abs/1906.04694v2,tooth decay
Dense Representative Tooth Landmark/axis Detection Network on 3D Model,"Guangshun Wei, Zhiming Cui, Jie Zhu, Lei Yang, Yuanfeng Zhou, Pradeep Singh, Min Gu, Wenping Wang","Artificial intelligence (AI) technology is increasingly used for digital
orthodontics, but one of the challenges is to automatically and accurately
detect tooth landmarks and axes. This is partly because of sophisticated
geometric definitions of them, and partly due to large variations among
individual tooth and across different types of tooth. As such, we propose a
deep learning approach with a labeled dataset by professional dentists to the
tooth landmark/axis detection on tooth model that are crucial for orthodontic
treatments. Our method can extract not only tooth landmarks in the form of
point (e.g. cusps), but also axes that measure the tooth angulation and
inclination. The proposed network takes as input a 3D tooth model and predicts
various types of the tooth landmarks and axes. Specifically, we encode the
landmarks and axes as dense fields defined on the surface of the tooth model.
This design choice and a set of added components make the proposed network more
suitable for extracting sparse landmarks from a given 3D tooth model. Extensive
evaluation of the proposed method was conducted on a set of dental models
prepared by experienced dentists. Results show that our method can produce
tooth landmarks with high accuracy. Our method was examined and justified via
comparison with the state-of-the-art methods as well as the ablation studies.",2021-11-08T00:42:22Z,http://arxiv.org/abs/2111.04212v2,tooth decay
DArch: Dental Arch Prior-assisted 3D Tooth Instance Segmentation,"Liangdong Qiu, Chongjie Ye, Pei Chen, Yunbi Liu, Xiaoguang Han, Shuguang Cui","Automatic tooth instance segmentation on 3D dental models is a fundamental
task for computer-aided orthodontic treatments. Existing learning-based methods
rely heavily on expensive point-wise annotations. To alleviate this problem, we
are the first to explore a low-cost annotation way for 3D tooth instance
segmentation, i.e., labeling all tooth centroids and only a few teeth for each
dental model. Regarding the challenge when only weak annotation is provided, we
present a dental arch prior-assisted 3D tooth segmentation method, namely
DArch. Our DArch consists of two stages, including tooth centroid detection and
tooth instance segmentation. Accurately detecting the tooth centroids can help
locate the individual tooth, thus benefiting the segmentation. Thus, our DArch
proposes to leverage the dental arch prior to assist the detection.
Specifically, we firstly propose a coarse-to-fine method to estimate the dental
arch, in which the dental arch is initially generated by Bezier curve
regression, and then a graph-based convolutional network (GCN) is trained to
refine it. With the estimated dental arch, we then propose a novel Arch-aware
Point Sampling (APS) method to assist the tooth centroid proposal generation.
Meantime, a segmentor is independently trained using a patch-based training
strategy, aiming to segment a tooth instance from a 3D patch centered at the
tooth centroid. Experimental results on $4,773$ dental models have shown our
DArch can accurately segment each tooth of a dental model, and its performance
is superior to the state-of-the-art methods.",2022-04-25T18:30:01Z,http://arxiv.org/abs/2204.11911v1,tooth decay
"Mandibular Teeth Movement Variations in Tipping Scenario: A Finite
  Element Study on Several Patients","Torkan Gholamalizadeh, Sune Darkner, Paolo Maria Cattaneo, Peter Søndergaard, Kenny Erleben","Previous studies on computational modeling of tooth movement in orthodontic
treatments are limited to a single model and fail in generalizing the
simulation results to other patients. To this end, we consider multiple
patients and focus on tooth movement variations under the identical load and
boundary conditions both for intra- and inter-patient analyses. We introduce a
novel computational analysis tool based on finite element models (FEMs)
addressing how to assess initial tooth displacement in the mandibular dentition
across different patients for uncontrolled tipping scenarios with different
load magnitudes applied to the mandibular dentition. This is done by modeling
the movement of each patient's tooth as a nonlinear function of both load and
tooth size. As the size of tooth can affect the resulting tooth displacement, a
combination of two clinical biomarkers obtained from the tooth anatomy, i.e.,
crown height and root volume, is considered to make the proposed model
generalizable to different patients and teeth.",2020-10-11T14:51:21Z,http://arxiv.org/abs/2010.05258v1,tooth decay
Boundary feature fusion network for tooth image segmentation,"Dongping Zhang, Zheng Li, Fangao Zeng, Yutong Wei","Tooth segmentation is a critical technology in the field of medical image
segmentation, with applications ranging from orthodontic treatment to human
body identification and dental pathology assessment. Despite the development of
numerous tooth image segmentation models by researchers, a common shortcoming
is the failure to account for the challenges of blurred tooth boundaries.
Dental diagnostics require precise delineation of tooth boundaries. This paper
introduces an innovative tooth segmentation network that integrates boundary
information to address the issue of indistinct boundaries between teeth and
adjacent tissues. This network's core is its boundary feature extraction
module, which is designed to extract detailed boundary information from
high-level features. Concurrently, the feature cross-fusion module merges
detailed boundary and global semantic information in a synergistic way,
allowing for stepwise layer transfer of feature information. This method
results in precise tooth segmentation. In the most recent STS Data Challenge,
our methodology was rigorously tested and received a commendable overall score
of 0.91. When compared to other existing approaches, this score demonstrates
our method's significant superiority in segmenting tooth boundaries.",2024-09-06T02:12:21Z,http://arxiv.org/abs/2409.03982v1,tooth decay
"Angular momentum removal by neutron and $γ$-ray emissions during
  fission fragment decays","I. Stetcu, A. E. Lovell, P. Talou, T. Kawano, S. Marin, S. A. Pozzi, A. Bulgac","We investigate the angular momentum removal from fission fragments (FFs)
through neutron and $\gamma$-ray emission, where we find that about half the
neutrons are emitted with angular momenta $\ge 1.5\hbar$ and that the change in
angular momentum after the emission of neutrons and statistical $\gamma$ rays
is significant, contradicting usual assumptions. Per fission event, in our
simulations, the neutron and statistical $\gamma$-ray emissions change the spin
of the fragment by 3.5 -- 5~$\hbar$, with a large standard deviation comparable
to the average value. Such wide angular momentum removal distributions can hide
any underlying correlations in the fission fragment initial spin values. Within
our model, we reproduce data on spin measurements from discrete transitions
after neutron emissions, especially in the case of light FFs. The agreement
further improves for the heavy fragments if one removes from the analysis the
events that would produce isomeric states. Finally, we show that while in our
model the initial FF spins do not follow a saw-tooth like behavior observed in
recent measurements, the average FF spin computed after neutron and statistical
$\gamma$ emissions exhibits a shape that resembles a saw tooth. This suggests
that the average FF spin measured after statistical emissions is not
necessarily connected with the scission mechanism as previously implied.",2021-08-09T20:54:03Z,http://arxiv.org/abs/2108.04347v2,tooth decay
Tooth-shaped plasmonic waveguide filters with nanometeric sizes,"Xianshi Lin, Xuguang Huang","A novel nanometeric plasmonic filter in a tooth-shaped Metal-Insulator-Metal
waveguide is proposed and demonstrated numerically. An analytic model based on
the scattering matrix method is given. The result reveals that the single
tooth-shaped filter has a wavelength filtering characteristic and an
ultra-compact size in the length of a few hundred nanometers, compared to
grating-like SPPs filters. Both analytic and simulation results show that the
wavelength of the trough of the transmission has linear and nonlinear
relationships with the tooth depth and the tooth width, respectively. The
waveguide filter could be utilized to develop ultra-compact photonic filters
for high integration.",2009-02-09T10:08:23Z,http://arxiv.org/abs/0902.1391v1,tooth decay
Dental pathology detection in 3D cone-beam CT,"Adel Zakirov, Matvey Ezhov, Maxim Gusarev, Vladimir Alexandrovsky, Evgeny Shumilov","Cone-beam computed tomography (CBCT) is a valuable imaging method in dental
diagnostics that provides information not available in traditional 2D imaging.
However, interpretation of CBCT images is a time-consuming process that
requires a physician to work with complicated software. In this work we propose
an automated pipeline composed of several deep convolutional neural networks
and algorithmic heuristics. Our task is two-fold: a) find locations of each
present tooth inside a 3D image volume, and b) detect several common tooth
conditions in each tooth. The proposed system achieves 96.3\% accuracy in tooth
localization and an average of 0.94 AUROC for 6 common tooth conditions.",2018-10-24T12:04:11Z,http://arxiv.org/abs/1810.10309v1,tooth decay
Multiscale modelling couples patches of nonlinear wave-like simulations,"Meng Cao, A. J. Roberts","The multiscale gap-tooth scheme is built from given microscale simulations of
complicated physical processes to empower macroscale simulations. By coupling
small patches of simulations over unsimulated physical gaps, large savings in
computational time are possible. So far the gap-tooth scheme has been developed
for dissipative systems, but wave systems are also of great interest. This
article develops the gap-tooth scheme to the case of nonlinear microscale
simulations of wave-like systems. Classic macroscale interpolation provides a
generic coupling between patches that achieves arbitrarily high order
consistency between the multiscale scheme and the underlying microscale
dynamics. Eigen-analysis indicates that the resultant gap-tooth scheme empowers
feasible computation of large scale simulations of wave-like dynamics with
complicated underlying physics. As an pilot study, we implement numerical
simulations of dam-breaking waves by the gap-tooth scheme. Comparison between a
gap-tooth simulation, a microscale simulation over the whole domain, and some
published experimental data on dam breaking, demonstrates that the gap-tooth
scheme feasibly computes large scale wave-like dynamics with computational
savings.",2014-04-25T04:44:34Z,http://arxiv.org/abs/1404.6317v1,tooth decay
Multiscale modelling couples patches of two-layer thin fluid flow,"Meng Cao, A. J. Roberts","The multiscale gap-tooth scheme uses a given microscale simulator of
complicated physical processes to enable macroscale simulations by computing
only only small sparse patches. This article develops the gap-tooth scheme to
the case of nonlinear microscale simulations of thin fluid flow. The microscale
simulator is derived by artificially assuming the fluid film flow having two
artificial layers but no distinguishing physical feature. Centre manifold
theory assures that there exists a slow manifold in the two-layer fluid film
flow. Eigenvalue analysis confirms the stability of the microscale simulator.
This article uses the gap-tooth scheme to simulate the two-layer fluid film
flow. Coupling conditions are developed by approximating the values at the
edges of patches by neighbouring macroscale values. Numerical eigenvalue
analysis suggests that the gap-tooth scheme with the developed two-layer
microscale simulator empowers feasible computation of large scale simulations
of fluid film flows. We also implement numerical simulations of the fluid film
flow by the gap-tooth scheme. Comparison between a gap-tooth simulation and a
microscale simulation over the whole domain demonstrates that the gap-tooth
scheme feasibly computes fluid film flow dynamics with computational savings.",2014-05-28T00:17:27Z,http://arxiv.org/abs/1405.7093v1,tooth decay
3D Tooth Mesh Segmentation with Simplified Mesh Cell Representation,"Ananya Jana, Hrebesh Molly Subhash, Dimitris N. Metaxas","Manual tooth segmentation of 3D tooth meshes is tedious and there is
variations among dentists. %Manual tooth annotation of 3D tooth meshes is a
tedious task. Several deep learning based methods have been proposed to perform
automatic tooth mesh segmentation. Many of the proposed tooth mesh segmentation
algorithms summarize the mesh cell as - the cell center or barycenter, the
normal at barycenter, the cell vertices and the normals at the cell vertices.
Summarizing of the mesh cell/triangle in this manner imposes an implicit
structural constraint and makes it difficult to work with multiple resolutions
which is done in many point cloud based deep learning algorithms. We propose a
novel segmentation method which utilizes only the barycenter and the normal at
the barycenter information of the mesh cell and yet achieves competitive
performance. We are the first to demonstrate that it is possible to relax the
implicit structural constraint and yet achieve superior segmentation
performance",2023-01-25T11:43:56Z,http://arxiv.org/abs/2301.10531v1,tooth decay
Study on Virtual Gear Hobbing Simulation and Gear Tooth Surface Accuracy,"Zhi Geng, Gang Li","This paper presents a digital simulation method for the hobbing process of
cylindrical gears. Based on the gear generation principle, taking the
professional software as the tool, the problem of virtual hobbing simulation on
involute helical gears was studied, and the virtual hobbing simulation of
hobbing on the whole gear was completed by using macros of CATIA V5. The
validity of this method was validated by analyzing the tooth surface accuracy
error of the model which was below 0.001 mm between the virtual tooth surface
and the theoretical tooth surface and the possible factors that affected the
tooth surface accuracy during manufacturing were also carried on the
discussion. It offers a fictitious three-D platform for studying the principle
of manufacture errors of a gear-cutting machine as well as the finite element
analysis between the ideal tooth surface and the erroneous tooth surface.",2023-07-12T16:15:35Z,http://arxiv.org/abs/2307.06270v1,tooth decay
"CTooth: A Fully Annotated 3D Dataset and Benchmark for Tooth Volume
  Segmentation on Cone Beam Computed Tomography Images","Weiwei Cui, Yaqi Wang, Qianni Zhang, Huiyu Zhou, Dan Song, Xingyong Zuo, Gangyong Jia, Liaoyuan Zeng","3D tooth segmentation is a prerequisite for computer-aided dental diagnosis
and treatment. However, segmenting all tooth regions manually is subjective and
time-consuming. Recently, deep learning-based segmentation methods produce
convincing results and reduce manual annotation efforts, but it requires a
large quantity of ground truth for training. To our knowledge, there are few
tooth data available for the 3D segmentation study. In this paper, we establish
a fully annotated cone beam computed tomography dataset CTooth with tooth gold
standard. This dataset contains 22 volumes (7363 slices) with fine tooth labels
annotated by experienced radiographic interpreters. To ensure a relative even
data sampling distribution, data variance is included in the CTooth including
missing teeth and dental restoration. Several state-of-the-art segmentation
methods are evaluated on this dataset. Afterwards, we further summarise and
apply a series of 3D attention-based Unet variants for segmenting tooth
volumes. This work provides a new benchmark for the tooth volume segmentation
task. Experimental evidence proves that attention modules of the 3D UNet
structure boost responses in tooth areas and inhibit the influence of
background and noise. The best performance is achieved by 3D Unet with SKNet
attention module, of 88.04 \% Dice and 78.71 \% IOU, respectively. The
attention-based Unet framework outperforms other state-of-the-art methods on
the CTooth dataset. The codebase and dataset are released.",2022-06-17T13:48:35Z,http://arxiv.org/abs/2206.08778v1,tooth decay
"ToothInpaintor: Tooth Inpainting from Partial 3D Dental Model and 2D
  Panoramic Image","Yuezhi Yang, Zhiming Cui, Changjian Li, Wenping Wang","In orthodontic treatment, a full tooth model consisting of both the crown and
root is indispensable in making the treatment plan. However, acquiring tooth
root information to obtain the full tooth model from CBCT images is sometimes
restricted due to the massive radiation of CBCT scanning. Thus, reconstructing
the full tooth shape from the ready-to-use input, e.g., the partial intra-oral
scan and the 2D panoramic image, is an applicable and valuable solution. In
this paper, we propose a neural network, called ToothInpaintor, that takes as
input a partial 3D dental model and a 2D panoramic image and reconstructs the
full tooth model with high-quality root(s). Technically, we utilize the
implicit representation for both the 3D and 2D inputs, and learn a latent space
of the full tooth shapes. At test time, given an input, we successfully project
it to the learned latent space via neural optimization to obtain the full tooth
model conditioned on the input. To help find the robust projection, a novel
adversarial learning module is exploited in our pipeline. We extensively
evaluate our method on a dataset collected from real-world clinics. The
evaluation, comparison, and comprehensive ablation studies demonstrate that our
approach produces accurate complete tooth models robustly and outperforms the
state-of-the-art methods.",2022-11-25T18:15:22Z,http://arxiv.org/abs/2211.15502v1,tooth decay
"Ammonia-Net: A Multi-task Joint Learning Model for Multi-class
  Segmentation and Classification in Tooth-marked Tongue Diagnosis","Shunkai Shi, Yuqi Wang, Qihui Ye, Yanran Wang, Yiming Zhu, Muhammad Hassan, Aikaterini Melliou, Dongmei Yu","In Traditional Chinese Medicine, the tooth marks on the tongue, stemming from
prolonged dental pressure, serve as a crucial indicator for assessing qi (yang)
deficiency, which is intrinsically linked to visceral health. Manual diagnosis
of tooth-marked tongue solely relies on experience. Nonetheless, the diversity
in shape, color, and type of tooth marks poses a challenge to diagnostic
accuracy and consistency. To address these problems, herein we propose a
multi-task joint learning model named Ammonia-Net. This model employs a
convolutional neural network-based architecture, specifically designed for
multi-class segmentation and classification of tongue images. Ammonia-Net
performs semantic segmentation of tongue images to identify tongue and tooth
marks. With the assistance of segmentation output, it classifies the images
into the desired number of classes: healthy tongue, light tongue, moderate
tongue, and severe tongue. As far as we know, this is the first attempt to
apply the semantic segmentation results of tooth marks for tooth-marked tongue
classification. To train Ammonia-Net, we collect 856 tongue images from 856
subjects. After a number of extensive experiments, the experimental results
show that the proposed model achieves 99.06% accuracy in the two-class
classification task of tooth-marked tongue identification and 80.02%. As for
the segmentation task, mIoU for tongue and tooth marks amounts to 71.65%.",2023-10-05T11:28:32Z,http://arxiv.org/abs/2310.03472v1,tooth decay
"Automatic Tooth Arrangement with Joint Features of Point and Mesh
  Representations via Diffusion Probabilistic Models","Changsong Lei, Mengfei Xia, Shaofeng Wang, Yaqian Liang, Ran Yi, Yuhui Wen, Yongjin Liu","Tooth arrangement is a crucial step in orthodontics treatment, in which
aligning teeth could improve overall well-being, enhance facial aesthetics, and
boost self-confidence. To improve the efficiency of tooth arrangement and
minimize errors associated with unreasonable designs by inexperienced
practitioners, some deep learning-based tooth arrangement methods have been
proposed. Currently, most existing approaches employ MLPs to model the
nonlinear relationship between tooth features and transformation matrices to
achieve tooth arrangement automatically. However, the limited datasets (which
to our knowledge, have not been made public) collected from clinical practice
constrain the applicability of existing methods, making them inadequate for
addressing diverse malocclusion issues. To address this challenge, we propose a
general tooth arrangement neural network based on the diffusion probabilistic
model. Conditioned on the features extracted from the dental model, the
diffusion probabilistic model can learn the distribution of teeth
transformation matrices from malocclusion to normal occlusion by gradually
denoising from a random variable, thus more adeptly managing real orthodontic
data. To take full advantage of effective features, we exploit both mesh and
point cloud representations by designing different encoding networks to extract
the tooth (local) and jaw (global) features, respectively. In addition to
traditional metrics ADD, PA-ADD, CSA, and ME_{rot}, we propose a new evaluation
metric based on dental arch curves to judge whether the generated teeth meet
the individual normal occlusion. Experimental results demonstrate that our
proposed method achieves state-of-the-art tooth alignment results and
satisfactory occlusal relationships between dental arches. We will publish the
code and dataset.",2023-12-23T02:27:15Z,http://arxiv.org/abs/2312.15139v1,tooth decay
Origin of the Arrow of Time in Quantum Mechanics,Nemanja Kaloper,"We point out that time's arrow is naturally induced by quantum mechanical
evolution, whenever the systems have a very large number ${\cal N}$ of
non-degenerate states and a Hamiltonian bounded from below. When ${\cal N}$ is
finite, the arrow is imperfect, since evolution can resurrect past states. In
the limit ${\cal N} \rightarrow \infty$ the arrow is fixed by the ""tooth of
time"": the decay of excited states induced by {\it spontaneous emission} to the
ground state, mediated by interactions and a large number of decay products
which carry energy and information to infinity. This applies to individual
isolated atoms, and does not require a coupling to a separate large heath bath.",2023-05-24T18:00:02Z,http://arxiv.org/abs/2305.15468v3,tooth decay
"Tooth Instance Segmentation from Cone-Beam CT Images through Point-based
  Detection and Gaussian Disentanglement","Jusang Lee, Minyoung Chung, Minkyung Lee, Yeong-Gil Shin","Individual tooth segmentation and identification from cone-beam computed
tomography images are preoperative prerequisites for orthodontic treatments.
Instance segmentation methods using convolutional neural networks have
demonstrated ground-breaking results on individual tooth segmentation tasks,
and are used in various medical imaging applications. While point-based
detection networks achieve superior results on dental images, it is still a
challenging task to distinguish adjacent teeth because of their similar
topologies and proximate nature. In this study, we propose a point-based tooth
localization network that effectively disentangles each individual tooth based
on a Gaussian disentanglement objective function. The proposed network first
performs heatmap regression accompanied by box regression for all the
anatomical teeth. A novel Gaussian disentanglement penalty is employed by
minimizing the sum of the pixel-wise multiplication of the heatmaps for all
adjacent teeth pairs. Subsequently, individual tooth segmentation is performed
by converting a pixel-wise labeling task to a distance map regression task to
minimize false positives in adjacent regions of the teeth. Experimental results
demonstrate that the proposed algorithm outperforms state-of-the-art approaches
by increasing the average precision of detection by 9.1%, which results in a
high performance in terms of individual tooth segmentation. The primary
significance of the proposed method is two-fold: 1) the introduction of a
point-based tooth detection framework that does not require additional
classification and 2) the design of a novel loss function that effectively
separates Gaussian distributions based on heatmap responses in the point-based
detection framework.",2021-02-02T05:15:50Z,http://arxiv.org/abs/2102.01315v1,tooth decay
Tooth morphometry using quasi-conformal theory,"Gary P. T. Choi, Hei Long Chan, Robin Yong, Sarbin Ranjitkar, Alan Brook, Grant Townsend, Ke Chen, Lok Ming Lui","Shape analysis is important in anthropology, bioarchaeology and forensic
science for interpreting useful information from human remains. In particular,
teeth are morphologically stable and hence well-suited for shape analysis. In
this work, we propose a framework for tooth morphometry using quasi-conformal
theory. Landmark-matching Teichm\""uller maps are used for establishing a 1-1
correspondence between tooth surfaces with prescribed anatomical landmarks.
Then, a quasi-conformal statistical shape analysis model based on the
Teichm\""uller mapping results is proposed for building a tooth classification
scheme. We deploy our framework on a dataset of human premolars to analyze the
tooth shape variation among genders and ancestries. Experimental results show
that our method achieves much higher classification accuracy with respect to
both gender and ancestry when compared to the existing methods. Furthermore,
our model reveals the underlying tooth shape difference between different
genders and ancestries in terms of the local geometric distortion and
curvatures.",2019-01-07T03:00:12Z,http://arxiv.org/abs/1901.01651v1,tooth decay
"CTooth+: A Large-scale Dental Cone Beam Computed Tomography Dataset and
  Benchmark for Tooth Volume Segmentation","Weiwei Cui, Yaqi Wang, Yilong Li, Dan Song, Xingyong Zuo, Jiaojiao Wang, Yifan Zhang, Huiyu Zhou, Bung san Chong, Liaoyuan Zeng, Qianni Zhang","Accurate tooth volume segmentation is a prerequisite for computer-aided
dental analysis. Deep learning-based tooth segmentation methods have achieved
satisfying performances but require a large quantity of tooth data with ground
truth. The dental data publicly available is limited meaning the existing
methods can not be reproduced, evaluated and applied in clinical practice. In
this paper, we establish a 3D dental CBCT dataset CTooth+, with 22 fully
annotated volumes and 146 unlabeled volumes. We further evaluate several
state-of-the-art tooth volume segmentation strategies based on fully-supervised
learning, semi-supervised learning and active learning, and define the
performance principles. This work provides a new benchmark for the tooth volume
segmentation task, and the experiment can serve as the baseline for future
AI-based dental imaging research and clinical application development.",2022-08-02T09:13:23Z,http://arxiv.org/abs/2208.01643v1,tooth decay
"A Critical Analysis of the Limitation of Deep Learning based 3D Dental
  Mesh Segmentation Methods in Segmenting Partial Scans","Ananya Jana, Aniruddha Maiti, Dimitris N. Metaxas","Tooth segmentation from intraoral scans is a crucial part of digital
dentistry. Many Deep Learning based tooth segmentation algorithms have been
developed for this task. In most of the cases, high accuracy has been achieved,
although, most of the available tooth segmentation techniques make an implicit
restrictive assumption of full jaw model and they report accuracy based on full
jaw models. Medically, however, in certain cases, full jaw tooth scan is not
required or may not be available. Given this practical issue, it is important
to understand the robustness of currently available widely used Deep Learning
based tooth segmentation techniques. For this purpose, we applied available
segmentation techniques on partial intraoral scans and we discovered that the
available deep Learning techniques under-perform drastically. The analysis and
comparison presented in this work would help us in understanding the severity
of the problem and allow us to develop robust tooth segmentation technique
without strong assumption of full jaw model.",2023-04-29T11:58:23Z,http://arxiv.org/abs/2305.00244v1,tooth decay
"Weakly Supervised Object Detection for Automatic Tooth-marked Tongue
  Recognition","Yongcun Zhang, Jiajun Xu, Yina He, Shaozi Li, Zhiming Luo, Huangwei Lei","Tongue diagnosis in Traditional Chinese Medicine (TCM) is a crucial
diagnostic method that can reflect an individual's health status. Traditional
methods for identifying tooth-marked tongues are subjective and inconsistent
because they rely on practitioner experience. We propose a novel fully
automated Weakly Supervised method using Vision transformer and Multiple
instance learning WSVM for tongue extraction and tooth-marked tongue
recognition. Our approach first accurately detects and extracts the tongue
region from clinical images, removing any irrelevant background information.
Then, we implement an end-to-end weakly supervised object detection method. We
utilize Vision Transformer (ViT) to process tongue images in patches and employ
multiple instance loss to identify tooth-marked regions with only image-level
annotations. WSVM achieves high accuracy in tooth-marked tongue classification,
and visualization experiments demonstrate its effectiveness in pinpointing
these regions. This automated approach enhances the objectivity and accuracy of
tooth-marked tongue diagnosis. It provides significant clinical value by
assisting TCM practitioners in making precise diagnoses and treatment
recommendations. Code is available at https://github.com/yc-zh/WSVM.",2024-08-29T11:31:28Z,http://arxiv.org/abs/2408.16451v1,tooth decay
